solver,hc_simple_d_gd,hc_gaussian_1_d_gd,hc_gaussian_2_d_gd,hc_cc_gd,sage
graph0074.hcp,38.737,109.655,110.040,*,1.320
graph0109.hcp,.063,.086,.085,.611,1.070
graph0110.hcp,.066,.089,.090,.471,1.150
graph0144.hcp,.190,.253,.231,205.128,1.640
graph0145.hcp,.137,.187,.186,3.549,1.360
graph0172.hcp,1.156,1.298,.554,*,1.750
graph0173.hcp,.459,.598,.475,215.115,1.620
graph0199.hcp,13.513,15.419,3.369,*,3.860
graph0200.hcp,3.673,6.900,1.544,*,2.360
graph0253.hcp,93.343,167.458,167.440,*,6.190
graph0268.hcp,36.449,70.157,69.111,*,1.950
graph0271.hcp,28.149,33.145,33.208,*,3.150
graph0272.hcp,554.271,1260.329,1230.722,*,12.260
graph0290.hcp,57.901,83.781,82.386,*,89.840
graph0298.hcp,10.035,18.611,18.492,*,25.610
graph0340.hcp,*,*,*,*,17.440
graph0703.hcp,*,*,*,*,*
graph0989.hcp,*,*,*,*,*
graph1001.hcp,*,*,*,*,*
